"* Required Fields","* Required Fields"
"Admin","Admin"
"Customer","Customer"
"JSON format: {\"param_1\": \"value_1\", \"param_2\": \"value_2\"}","JSON format: {\"param_1\": \"value_1\", \"param_2\": \"value_2\"}"
"Key","Key"
"Method","Method"
"Name","Name"
"New OAuth Session","New OAuth Session"
"OAuth Server Connection Params","OAuth Server Connection Params"
"OpenMage OAuth REST Tester","OpenMage OAuth REST Tester"
"OpenMage REST Resources","OpenMage REST Resources"
"Params","Params"
"Path","Path"
"Problem getting access token from OAuth host: %s. Please try again.","Problem getting access token from OAuth host: %s. Please try again."
"Problem getting request token from %s. Make sure you input the correct params.<br>","Problem getting request token from %s. Make sure you input the correct params.<br>"
"Problem getting request token from %s.<br>","Problem getting request token from %s.<br>"
"Request","Request"
"Response","Response"
"Save","Save"
"Secret","Secret"
"Submit","Submit"
"Test OAuth 1.0a","Test OAuth 1.0a"
"URL","URL"
"User Type","User Type"
"You have rejected the OAuth request.","You have rejected the OAuth request."
